unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
11695039,JC272752,2019-05-21 14:35:00+00:00,008XX E 40TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,214,2,4,36,11,1182394.0,1878378.0,2019,2019-06-30 15:56:27+00:00,41.821485998,-87.606391313,"(41.821485998, -87.606391313)"
11729910,JC315123,2019-06-20 21:43:00+00:00,001XX W SWANN ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,ALLEY,True,False,215,2,3,37,24,1176057.0,1874110.0,2019,2019-06-30 15:56:27+00:00,41.809918997,-87.629766697,"(41.809918997, -87.629766697)"
10271478,HY459797,2015-10-12 23:45:00+00:00,034XX S WESTERN AVE,2022,NARCOTICS,POSS: COCAINE,ALLEY,True,False,911,9,12,59,18,1160928.0,1881603.0,2015,2018-02-10 15:50:01+00:00,41.830807149,-87.685050402,"(41.830807149, -87.685050402)"
10829818,JA131293,2017-01-26 19:50:00+00:00,037XX S WESTERN AVE,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),False,False,911,9,12,59,07,1160980.0,1879877.0,2017,2017-02-14 15:49:42+00:00,41.826069731,-87.684907409,"(41.826069731, -87.684907409)"
11025722,JA356747,2017-07-20 13:20:00+00:00,037XX S ARCHER AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESTAURANT,False,False,911,9,12,59,11,1160845.0,1879718.0,2017,2018-02-10 15:50:01+00:00,41.825636211,-87.685407095,"(41.825636211, -87.685407095)"
2157473,HH391097,2002-05-23 13:30:00+00:00,093XX S SOUTH CHICAGO AVE,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,OTHER,True,False,424,4,10,48,22,1198228.0,1843541.0,2002,2018-02-28 15:56:25+00:00,41.725508907,-87.549470108,"(41.725508907, -87.549470108)"
3058885,HJ775463,2003-11-21 21:00:00+00:00,059XX S NARRAGANSETT AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,False,False,811,8,23,64,14,1134747.0,1864507.0,2003,2018-02-28 15:56:25+00:00,41.784394771,-87.781514172,"(41.784394771, -87.781514172)"
3733823,HK812433,2004-12-16 16:50:00+00:00,024XX S FEDERAL ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,CHA PARKING LOT/GROUNDS,True,False,134,1,3,34,26,1176087.0,1888243.0,2004,2018-02-28 15:56:25+00:00,41.848700443,-87.6292318,"(41.848700443, -87.6292318)"
6360418,HP447283,2008-07-11 18:00:00+00:00,082XX W HIGGINS RD,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",PARKING LOT/GARAGE(NON.RESID.),False,False,1614,16,41,10,07,1120799.0,1937747.0,2008,2018-02-28 15:56:25+00:00,41.98561117,-87.831082925,"(41.98561117, -87.831082925)"
7465610,HS267779,2010-04-20 17:00:00+00:00,040XX S LAKE PARK AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,2123,2,4,36,26,1183795.0,1878119.0,2010,2018-02-10 15:50:01+00:00,41.820742642,-87.601259884,"(41.820742642, -87.601259884)"
8277053,HT511165,2011-09-23 19:45:00+00:00,041XX S DREXEL BLVD,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,True,False,2123,2,4,36,04B,1182807.0,1877824.0,2011,2018-02-10 15:50:01+00:00,41.819956184,-87.604893465,"(41.819956184, -87.604893465)"
11104707,JA453334,2017-09-30 20:05:00+00:00,051XX N TROY ST,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,True,False,1713,17,33,13,04A,1154442.0,1934147.0,2017,2018-02-10 15:50:01+00:00,41.975124523,-87.707441438,"(41.975124523, -87.707441438)"
2403636,HH703322,2002-10-09 13:50:00+00:00,047XX S WENTWORTH AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,CTA BUS,True,False,231,2,3,37,26,1175752.0,1873657.0,2002,2018-02-10 15:50:01+00:00,41.808682769,-87.630898966,"(41.808682769, -87.630898966)"
2676707,HJ295083,2003-04-12 01:20:00+00:00,041XX S ELLIS AVE,0499,BATTERY,AGGRAVATED DOMESTIC BATTERY,RESIDENCE,True,False,2123,2,4,36,04B,1183536.0,1877507.0,2003,2018-02-28 15:56:25+00:00,41.819069323,-87.602229109,"(41.819069323, -87.602229109)"
